candidate_id,author_group,entry_id,text_source,sample_type,candidate_method,trigger_pattern,left_term_key,left_display,right_term_key,right_display,relation_hint,evidence_display,review_status,review_confidence,review_note
SNRC-00031,Aetius,AET_LM-1.108,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,αλευρον,ἀλεύροις,τηλις αλευρον,τήλεως ἀλεύροις,variant,χεῖς χριόμενον ἐν βαλανείοις ἀποθεραπεύει. φευκτέον δὲ αὐτὸ ἐπὶ τῶν φλεγμαινόντων λειχήνων ἢ ψωρῶν καὶ ἐπὶ τῶν θερμῶν κράσεων καὶ χολωδῶν. τοῖς γὰρ ὑγροῖς καὶ φλεγματικοῖς ἁρμόττει καὶ πᾶσι τοῖς ὑπὸ ψύξεως ἐνοχλουμένοις τὰ ἄρθρα καὶ ἰσχιαδικοῖς κατάλληλ,pending_llm_review,,
SNRC-00032,Aetius,AET_LM-1.108,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,αλευρον,ἀλεύροις,ωον,ὠῷ,unreviewed,χεῖς χριόμενον ἐν βαλανείοις ἀποθεραπεύει. φευκτέον δὲ αὐτὸ ἐπὶ τῶν φλεγμαινόντων λειχήνων ἢ ψωρῶν καὶ ἐπὶ τῶν θερμῶν κράσεων καὶ χολωδῶν. τοῖς γὰρ ὑγροῖς καὶ φλεγματικοῖς ἁρμόττει καὶ πᾶσι τοῖς ὑπὸ ψύξεως ἐνοχλουμένοις τὰ ἄρθρα καὶ ἰσχιαδικοῖς κατάλληλ,pending_llm_review,,
SNRC-00033,Aetius,AET_LM-1.108,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,αλευρον,ἀλεύροις,εκ του καρπου της δαφνης,ἐκ τοῦ καρποῦ τῆς δάφνης,unreviewed,χεῖς χριόμενον ἐν βαλανείοις ἀποθεραπεύει. φευκτέον δὲ αὐτὸ ἐπὶ τῶν φλεγμαινόντων λειχήνων ἢ ψωρῶν καὶ ἐπὶ τῶν θερμῶν κράσεων καὶ χολωδῶν. τοῖς γὰρ ὑγροῖς καὶ φλεγματικοῖς ἁρμόττει καὶ πᾶσι τοῖς ὑπὸ ψύξεως ἐνοχλουμένοις τὰ ἄρθρα καὶ ἰσχιαδικοῖς κατάλληλ,pending_llm_review,,
SNRC-00034,Aetius,AET_LM-1.108,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,αλευρον,ἀλεύροις,του καρπου των δαφνιδων,τοῦ καρποῦ τῶν δαφνίδων,unreviewed,χεῖς χριόμενον ἐν βαλανείοις ἀποθεραπεύει. φευκτέον δὲ αὐτὸ ἐπὶ τῶν φλεγμαινόντων λειχήνων ἢ ψωρῶν καὶ ἐπὶ τῶν θερμῶν κράσεων καὶ χολωδῶν. τοῖς γὰρ ὑγροῖς καὶ φλεγματικοῖς ἁρμόττει καὶ πᾶσι τοῖς ὑπὸ ψύξεως ἐνοχλουμένοις τὰ ἄρθρα καὶ ἰσχιαδικοῖς κατάλληλ,pending_llm_review,,
SNRC-00035,Aetius,AET_LM-1.108,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,δαφνη,δάφνης,δαφνις,δαφνίδων,unreviewed,χεῖς χριόμενον ἐν βαλανείοις ἀποθεραπεύει. φευκτέον δὲ αὐτὸ ἐπὶ τῶν φλεγμαινόντων λειχήνων ἢ ψωρῶν καὶ ἐπὶ τῶν θερμῶν κράσεων καὶ χολωδῶν. τοῖς γὰρ ὑγροῖς καὶ φλεγματικοῖς ἁρμόττει καὶ πᾶσι τοῖς ὑπὸ ψύξεως ἐνοχλουμένοις τὰ ἄρθρα καὶ ἰσχιαδικοῖς κατάλληλ,pending_llm_review,,
SNRC-00036,Aetius,AET_LM-1.108,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,δαφνη,δάφνης,ελαιον,ἔλαιον,unreviewed,χεῖς χριόμενον ἐν βαλανείοις ἀποθεραπεύει. φευκτέον δὲ αὐτὸ ἐπὶ τῶν φλεγμαινόντων λειχήνων ἢ ψωρῶν καὶ ἐπὶ τῶν θερμῶν κράσεων καὶ χολωδῶν. τοῖς γὰρ ὑγροῖς καὶ φλεγματικοῖς ἁρμόττει καὶ πᾶσι τοῖς ὑπὸ ψύξεως ἐνοχλουμένοις τὰ ἄρθρα καὶ ἰσχιαδικοῖς κατάλληλ,pending_llm_review,,
SNRC-00037,Aetius,AET_LM-1.108,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,δαφνη,δάφνης,μελι,μέλιτι,unreviewed,χεῖς χριόμενον ἐν βαλανείοις ἀποθεραπεύει. φευκτέον δὲ αὐτὸ ἐπὶ τῶν φλεγμαινόντων λειχήνων ἢ ψωρῶν καὶ ἐπὶ τῶν θερμῶν κράσεων καὶ χολωδῶν. τοῖς γὰρ ὑγροῖς καὶ φλεγματικοῖς ἁρμόττει καὶ πᾶσι τοῖς ὑπὸ ψύξεως ἐνοχλουμένοις τὰ ἄρθρα καὶ ἰσχιαδικοῖς κατάλληλ,pending_llm_review,,
SNRC-00038,Aetius,AET_LM-1.113,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,ελαιον,ἐλαίου,ελαιον ομφακινον,ἐλαίου ὀμφακίνου,variant,τὸν βίκον εἰς φρέαρ ὕδατος ψυχροῦ ἡμέρας <μ>. ἁρμόζει δὲ κεφαλῇ θερμανθείσῃ καὶ ξηρανθείσῃ ἢ ἐξ ἡλιώσεως ἢ ἐκ πυρετῶν ἤ τινος ἄλλης τοιαύτης προφάσεως. ὑγραίνει γὰρ καὶ παρηγορεῖ καὶ ὕπνον ἐπάγει. καὶ ἐπὶ σπλάγχνων δὲ ἐν πυρετοῖς ἐκθερμαινομένων ἁρμοδία,pending_llm_review,,
SNRC-00039,Aetius,AET_LM-1.113,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,ελαιον,ἐλαίου,κηρος,κηροῦ,unreviewed,τὸν βίκον εἰς φρέαρ ὕδατος ψυχροῦ ἡμέρας <μ>. ἁρμόζει δὲ κεφαλῇ θερμανθείσῃ καὶ ξηρανθείσῃ ἢ ἐξ ἡλιώσεως ἢ ἐκ πυρετῶν ἤ τινος ἄλλης τοιαύτης προφάσεως. ὑγραίνει γὰρ καὶ παρηγορεῖ καὶ ὕπνον ἐπάγει. καὶ ἐπὶ σπλάγχνων δὲ ἐν πυρετοῖς ἐκθερμαινομένων ἁρμοδία,pending_llm_review,,
SNRC-00040,Aetius,AET_LM-1.113,AET_LM,trigger,heading_eta,\s[ἤἢη]\s,ελαιον,ἐλαίου,οξος,ὄξος,unreviewed,τὸν βίκον εἰς φρέαρ ὕδατος ψυχροῦ ἡμέρας <μ>. ἁρμόζει δὲ κεφαλῇ θερμανθείσῃ καὶ ξηρανθείσῃ ἢ ἐξ ἡλιώσεως ἢ ἐκ πυρετῶν ἤ τινος ἄλλης τοιαύτης προφάσεως. ὑγραίνει γὰρ καὶ παρηγορεῖ καὶ ὕπνον ἐπάγει. καὶ ἐπὶ σπλάγχνων δὲ ἐν πυρετοῖς ἐκθερμαινομένων ἁρμοδία,pending_llm_review,,
